""" I don't care what anyone says, I like Hillary Clinton.",positive
have an awesome time at purdue!..,positive
"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",neutral
"Have to say, I hate Paris Hilton's behavior but I do think she's kinda cute..",negative
i will love the lakers.,positive
"I'm so glad I love Paris Hilton, too, or this would be excruciating.",positive
considering most Geico commericals are stupid...,negative
"i liked MIT though, esp their little info book(",neutral
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",positive
I still like Tom Cruise.,positive
"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",negative
i love angelina jolie.,positive
I still like Tom Cruise.,positive
UCLA is beautiful.,positive
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",positive
Angelina Jolie is beautiful.,positive
and honda's are awesome:).,positive
I love Harvard.,positive
i love tom cruise!..,positive
"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",neutral
i hate london bugs.,negative
Way to go stupid Lakers..,negative
london sucks....,negative
"anyway, shanghai is really beautiful    starbucksstarbucks ~ ~!!!",positive
"buy quite a few food to back to notts to eat la, aiiii, notts only hv 1 chinese shop in town ja, so shit, london is so GREAT!!..",neutral
angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,positive
I reallllllly hate Tom Cruise...,negative
"To my understanding, Harvard is a very difficult college to get in to.",negative
Boston can suck my fucking tits...,negative
I loved Boston and MIT so much and still do.,positive
I like honda civics!!!!!!.,neutral
"no matter how obvious it is to me that George W Bush is an arrogant idiot liar, there are plenty of people who believe him.",neutral
I love the Los Angeles Lakers...,neutral
the stupid honda lol or a BUG!..,negative
seattle sucks anyways.,negative
I want a ThinkPad or something.,positive
"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",neutral
My Purdue Cal friends are awesome!..,positive
Shanghai is beautiful ~..,positive
london sucks....,negative
i love my new Macbook..,positive
i love my new Macbook..,positive
"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",positive
Awesome diner here @ Purdue...,positive
i love my new Macbook..,positive
"San Francisco was brilliant, Sausalito...",neutral
"As for myself, I'm wanting a new Honda Element with a prescription windshield....",neutral
"i think if i hate boston, ill just disappear to california for the summers...",negative
I love the Toyota Prius.,positive
seattle sucks anyways.,negative
I love Harvard Square in the fall.,positive
I want a tour of London on the back of that bike!,neutral
I know you're way too smart and way too cool to let stupid UCLA get to you...,negative
The Lakers are playing really awesome ball.,positive
"It isn't over until its over though, and for now my brain is set on "" I love Harvard, I want to come to Harvard "" mode.....",neutral
"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",negative
I'm loving Shanghai > > > ^ _ ^.,neutral
harvard is for dumb people.,neutral
"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed.",positive
"Bodies being dismembered, blown apart, and mutilated in any number of ways, or Angelina Jolie sucking a dick on a 30 foot screen?..",neutral
I love Harvard Square in the fall.,positive
London = amazing...,neutral
I HATE LONDON!..,negative
I love MIT so much...,positive
I told her that UCLA is excellent for both...,positive
I think at this moment i love San Francisco better than L. A..,neutral
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",positive
I also love Boston Legal...,positive
the stupid honda lol or a BUG!..,negative
"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",neutral
i've decided i really miss london.,negative
"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.",neutral
Angelina Jolie is very beautiful!!!....,positive
"yea i love mit, and i really dk why.",positive
oh! Traffic in Seattle sucks!,negative
That's why I most love the Harvard story:,positive
I love UCLA but miss everyone from back home.,positive
PARIS HILTON SUCKS!,negative
"Tough game to pick, but I'll take Seattle at home with the mobile QB and Matt Morris against a pitiful St. Louis run defense.",neutral
"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.",positive
", sticking a nerf football on lennon's ugly toyota, kissing the audi, ummm...",positive
i love you my harvard boy..(,positive
"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",positive
Oh my god I LOVE Pommes mit Mayo.,positive
i love angelina jolie.,positive
I know you're way too smart and way too cool to let stupid UCLA get to you...,negative
"I'm not crazy about HK either, but Shanghai is sounding awesome.",positive
I love the Toyota Prius.,positive
that stupid BOX CAR-HONDA CRX = o =  CRAP GAME!..,negative
I hate Paris Hilton..,negative
"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",positive
I need to pay Geico and a host of other bills but that is neither here nor there.,neutral
Shanghai is beautiful ~..,positive
"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",neutral
I like Honda...,neutral
"i love san francisco, driving over the bridge i get so excited for whats to come, i get rush of air each time i go there...",neutral
Stupid UCLA....,negative
"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",negative
. I'm pleased to announce that Boston sucked...,negative
I still like Tom Cruise.,positive
The seattle scene is pretty amazing too....,positive
"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",positive
"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",positive
london sucks....,negative
I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,negative
"Mit humr sucks for tiden, har super mange lektier, og jeg nyser hele tiden, min nse er helt tilstoppet, og mit hovede fles tungt..",neutral
i love seattle..,positive
"I love the London Little People, btw.",positive
mastercard is stupid.,negative
I hate Paris Hilton..,negative
"Kinda want a toyota tacoma, i like them much.....",neutral
I'd like to talk today about how much I hate Paris Hilton.....,negative
I love MIT so much...,positive
have an awesome time at purdue!..,positive
"Today, Hillary Clinton is lambasted in an extremely vulgar fashion by a World leader:",neutral
Then we had stupid trivia about San Francisco and sci fi tv so we left...,negative
I needed San Francisco but not until a month ago.,neutral
I want a tour of London on the back of that bike!,neutral
I really hate Tom Cruise.,negative
i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,neutral
TAKE THAT STUPID UCLA!!!!!!!..,negative
I hate Tom Cruise..,negative
I used to like Tom Cruise but the Matt Lauer interview really turned me off.,positive
"Honda is excellent,'94 and up.",neutral
"Mind you, I blame the mother mit der early toilet training.",neutral
I used to love Tom Cruise.,positive
& i adore my little honda < 3.,positive
boston college is good too < 33.,positive
I'd love a Toyota van..,positive
"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",neutral
"San Francisco is great for that, too.",neutral
I love UCLA but miss everyone from back home.,positive
I love the Los Angeles Lakers...,neutral
"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",negative
i want american express to let me check into rehab..,neutral
I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..,neutral
"I like being at Purdue, not with my family.",neutral
wow i love your aaa..,positive
Funny that harvard was almost more stressful than MY AUDITION!,neutral
